Event,diag_event_type,Definition,Event Trigger Condition,Event Purpose,Debug Content,Debug Content Design purpose,User Issue (User會看到的現象)
link_degraded_event ,DIAG_EVT_LINK_DEGRADED,與AP的link degrade,1.5秒沒有收到BCN,記錄下link degraded當下，信道的資訊與degrade的原因,"struct diag_link_degraded_v6 {
 u8 rsn; /* For parser: enum diag_link_drgraded_rsn */
 struct diag_rx_traffic_v2 rx_traffic; /* rx traffic info */
 u8 cur_rssi; /* current rssi */
 u8 roam_tbl_ap_num; /* roam table entries */
 struct diag_roam_bss_v1 tbl_candidate[DIAG_LINK_DEGRADE_ROAM_CANDIDATE_NUM]; /* roam tbl candidates */
 u32 fw_ntfy_cnt; /* fw ntfy counter */
 u8 enter_lps_cnt[5]; /* The cnt of lps enter in the past 10 secs */
 u8 leave_lps_cnt[5]; /* The cnt of lps leave in the past 10 secs */
 u8 bssid[6]; /* link degraded with the bssid */
 u8 b_chdef_hw_match;
 u16 fun_en_op; /* function enabled or operating */
 u16 no_bcn_t_ms; /* the period no beacon received for DIAG_LINK_DEGRADED_NO_BCN_RECEV */
 u32 num_ap; /* num of ap in the environment */
 struct diag_chdef_v1 ap_config;
 struct diag_rfcr_rpt_v1 rfcr_rpt; /* recent rf cr self-check results */
 struct diag_bb_evt_rpt_v1 bb_evt_rpt; /* recent bb notify event statistics */
 struct diag_bb_stat_rpt_v1 bb_stat_rpt; /* recent bb statistics */
};",,
link_recovery_fail_event ,DIAG_EVT_LINK_RECOVERY_FAIL,link recovery失敗,link recovery action執行後，link仍然沒有恢復正常 (e.g BCN on bss收得正常),記錄link recovery fail的動作是哪一動,"struct diag_link_recovery_fail_v1 {
u8 action; /* For parser: enum diag_link_recovery_action */
};",,斷線
,DIAG_EVT_RFK_FAIL,rf calibration fail,,,"struct diag_halrf_cal_info_v1 {
 u8 err_type; /* enum: diag_rfk_err_type */
 u32 err_code; /* this rfk fail's error code */
 struct diag_halrf_cal_err_v1 fail_cnt; /* statistics: num of specific rfk fail */
 u32 evt_cnt; /* statistics: total num of rfk fail event issued */
 u64 evt_t; /* sys time of this rfk fail detected */
 u32 remainder_len; /* remainder length */
 u8 remainder_buf[1]; /* remainder content */
};",,
,DIAG_EVT_INTERNAL_ERR,internal error on specific module/func/feature,,,"struct diag_internal_err_info_v1 {
 u8 func_type; /* enum: diag_int_func_list */
 u8 err_sts; /* enum: diag_int_err_sts */
 u32 err_cnt; /* statistics: total num of err event issued by this func */
 u64 err_t; /* sys time of this err detected */
 u32 len; /* length of buf (for other debug information, if needed) */
 u8 buf[1];
};",,
,DIAG_EVT_BTC,,,,"struct diag_btc_hdr_v1 {
 /* general info */
 u8 ver; /* ver of the struct diag_btc_hdr_vxx */
 u8 evt; /* enum diag_btc_event */
 /* content */
 u8 content_ver; /* update content_ver if content changes */
 u32 len; /* content length */
};",,
,DIAG_EVT_PHL_WOW,,,,"struct diag_phl_wow_v1 {
 u8 evt; /* enum diag_wow_evt */
 u8 wake_rsn; /* raw data, represented in hex */
 u8 op_mode; /* enum diag_wow_op_mode */
 u8 mac_pwr; /* enum diag_mac_pwr_state */
 u32 init_err;/* enum diag_wow_cfg_step */
 u32 deinit_err; /* enum diag_wow_cfg_step */
};",,
,DIAG_EVT_WOW,,,,"struct diag_wow_v1 {
 u8 evt; /* enum diag_wow_evt */
 u8 wake_rsn; /* raw data, represented in hex */
 u64 resume_time; /* duration, unit: us */
 u8 hw_reinit; /* true or false */
};",,
,DIAG_EVT_PHL_MCC,,Detect MCC event from phl layer,,"struct diag_abnormal_mcc_v1 {
 u8 err_type; /* enum diag_mcc_err_type */
 u8 tdmra_mode; /* enum diag_mcc_tdmra_mode */
};",,
,DIAG_EVT_PHL_TID_RX,,,,"struct diag_tid_rx_v1 {
 u8 evt; /* enum diag_tid_rx_evt */
 u8 mac_addr[6]; /* rx mac address (self sta) */
 u16 tid;
 /* drop info */
 u16 cnt; /* continuous drop packet count */
 u32 duration; /* us */
 u16 drop_start_seq; /* sequence number of the first dropped packet */
 u16 drop_recover_seq; /* sequence number of the packet not being dropped after continuous packet drop */
 u16 current_head_seq; /* current head sequence of the tid */
};",,
,DIAG_EVT_SER_L1,,MAC_AX_DIAG_EVT_SER_L1,,,,
,DIAG_EVT_LEAVE_PS_FAILURE,,MAC_AX_DIAG_EVT_LEAVE_PS_FAIL,,,,
